iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew,test_mean_rew,test_median_rew,test_min_rew,test_max_rew
13,519792,639,-1.7672551243733137,17352.42610536233,-0.0009247103841073859,-385.8678339375,-248.62584249999998,-9985.789021,-124.692949,-325.929364,-325.929364,-325.929364,-325.929364
14,559776,641,-1.7634359448384016,14210.918422914163,-0.0012859972106898801,-431.12237576785714,-255.2910835,-6810.628286,-140.055316,-295.813438,-295.813438,-295.813438,-295.813438
15,599760,644,-1.7757176203605456,8071.23497658754,-0.0021652657675216547,-264.9296121071428,-232.8266565,-1582.021947,-131.896653,-345.77565,-345.77565,-345.77565,-345.77565
16,639744,647,-1.785094010218596,7429.692261211689,-0.002524029293458742,-371.20918694642853,-226.924936,-8636.215638,-132.952762,-287.511479,-287.511479,-287.511479,-287.511479
17,679728,649,-1.8019115062860342,6590.064116492638,-0.0033603312589921422,-349.73688933928577,-241.56204000000002,-5519.682136,-124.706419,-294.240195,-294.240195,-294.240195,-294.240195
18,719712,651,-1.8170946781451887,6930.073504873422,-0.003854757097649734,-353.65687157142867,-243.635098,-7553.647426,-124.264191,-364.537763,-364.537763,-364.537763,-364.537763
19,759696,653,-1.8353693200991703,5557.20986719376,-0.004156459838384016,-295.5440140714286,-233.253658,-3185.918771,-131.937484,-194.210409,-194.210409,-194.210409,-194.210409
20,799680,656,-1.8714419551384756,7286.6503306853465,-0.0022549240653647875,-267.8369465089286,-216.242839,-4961.574371,-131.471896,-207.439895,-207.439895,-207.439895,-207.439895
21,839664,658,-1.9208445185270064,3929.5839907915165,-0.007083082689629732,-266.0942425892857,-197.5694,-2503.366787,-125.23459,-174.487633,-174.487633,-174.487633,-174.487633
22,879648,659,-1.9866783227676,2639.048447281275,-0.001424126086123159,-243.4829614732143,-226.467626,-520.541161,-135.163205,-185.827279,-185.827279,-185.827279,-185.827279
23,919632,659,-2.0516497052632845,713.7655409201598,-0.005366133275003029,-229.15842635714287,-207.4140205,-613.39699,-111.325864,-162.414985,-162.414985,-162.414985,-162.414985
24,959616,661,-2.087289212911557,3937.7792545025163,0.001610498732882731,-245.43372947321427,-187.03011700000002,-4254.896689,-115.541927,-142.431738,-142.431738,-142.431738,-142.431738
25,999600,662,-2.096578002587343,4141.3931152735,0.0054863292794741425,-328.2059774642857,-177.6390535,-8760.734322,-119.371147,-173.643157,-173.643157,-173.643157,-173.643157
26,1039584,662,-2.103917041191688,9444.53166050055,-0.004082875198853286,-199.71134823214288,-189.6627755,-384.15528,-113.091804,-117.503919,-117.503919,-117.503919,-117.503919
27,1079568,664,-2.1054071047367193,3230.6636711218416,-0.0021355956923052406,-194.62560766964287,-182.62372,-469.100371,-111.584292,-123.971188,-123.971188,-123.971188,-123.971188
28,1119552,664,-2.1124812982021233,2049.7568150446964,-0.0009965848751072861,-187.35825795535715,-170.71436749999998,-474.66129,-103.497926,-185.89141,-185.89141,-185.89141,-185.89141
29,1159536,665,-2.1645728637010624,715.5525792635405,-0.0043991555201967295,-194.11605394642856,-170.2175835,-1217.19036,-100.39588,-113.927834,-113.927834,-113.927834,-113.927834
30,1199520,666,-2.276039465268453,146.264552346254,-0.005770555089223378,-177.74228034821428,-167.2030145,-424.729327,-115.502748,-128.343582,-128.343582,-128.343582,-128.343582
31,1239504,666,-2.301240526101528,1083.1988856584599,-0.003991803888661357,-179.27272128571425,-164.26320800000002,-676.946773,-112.313891,-153.30825,-153.30825,-153.30825,-153.30825
32,1279488,667,-2.3428034568444276,611.4325320366102,-0.006964314616053366,-174.79403722321427,-159.009184,-839.571723,-110.185834,-133.854778,-133.854778,-133.854778,-133.854778
33,1319472,668,-2.4294927560366117,186.51446741544282,-0.006857948810074259,-169.07546921428573,-163.7513085,-303.060653,-106.427914,-122.801571,-122.801571,-122.801571,-122.801571
34,1359456,667,-2.467484010794224,2480.7364777442735,-0.0021036541630215094,-164.89943766071428,-154.94420150000002,-324.653315,-111.546448,-137.75339,-137.75339,-137.75339,-137.75339
35,1399440,668,-2.4702384869257608,8128.405507571881,-0.0037833798425242256,-157.726275,-153.817441,-289.935113,-109.489687,-144.685219,-144.685219,-144.685219,-144.685219
